year,month,district,pcode,rfe,ndvi,temp,pdi,tdi,vdi,cdi,target,district_encoded
2024,1,Adan Yabaal,2102,2.824248953,0.465002345,33.83089427,2.11,1.52,1.73,1.96,1,0
2023,12,Adan Yabaal,2102,9.19332517,0.535683901,33.04426187,1.89,1.41,1.48,1.77,1,0
2023,11,Adan Yabaal,2102,161.6752556,0.510566821,29.88474119,1.93,1.41,1.43,1.8,1,0
2023,10,Adan Yabaal,2102,112.9118534,0.332908733,34.16807184,0.83,1.15,1.28,0.91,1,0
2023,9,Adan Yabaal,2102,1.517815128,0.226585727,36.88730717,0.45,1.13,1.07,0.62,0,0
2023,8,Adan Yabaal,2102,11.27880959,0.230695735,36.48041694,0.81,1.17,1.22,0.9,0,0
2023,7,Adan Yabaal,2102,13.91101487,0.067714481,32.26804706,0.97,1.23,1.28,1.04,1,0
2023,6,Adan Yabaal,2102,7.616769968,0.434548912,33.31081725,0.77,1.22,1.67,0.88,0,0
2023,5,Adan Yabaal,2102,8.248299722,0.366571147,35.58710951,0.73,1.27,1.6,0.87,0,0
2023,4,Adan Yabaal,2102,68.9495474,0.33086199,36.13523811,1.18,1.49,1.63,1.26,1,0
2023,3,Adan Yabaal,2102,23.13784644,0.513942471,36.63510931,1.25,1.41,1.55,1.29,1,0
2023,2,Adan Yabaal,2102,1.1946,0.2594,36.1069,0.82,1.2,1.1,0.91,1,0
2023,1,Adan Yabaal,2102,2.900289,0.338073,35.37270547,0.63,0.94,0.76,0.71,0,0
2022,12,Adan Yabaal,2102,7.44952,0.38384,34.66080714,0.47,0.66,0.48,0.52,0,0
2022,11,Adan Yabaal,2102,36.17828,0.367628366,34.23737,0.48,0.94,0.42,0.59,0,0
2022,10,Adan Yabaal,2102,41.08736591,0.15852425,37.95175378,0.74,1.19,0.37,0.85,0,0
2022,9,Adan Yabaal,2102,1.60017,0.15852,35.74824,0.91,1.36,0.37,1.02,1,0
2022,8,Adan Yabaal,2102,16.6696225,0.0,34.41322206,1.15,1.14,0.38,1.15,1,0
2022,7,Adan Yabaal,2102,27.57890607,0.137059417,29.67923977,1.07,1.12,0.45,1.08,1,0
2022,6,Adan Yabaal,2102,6.493974296,0.199950767666667,34.6379938781759,0.76,0.99,0.47,0.82,0,0
2022,5,Adan Yabaal,2102,43.33,0.27,34.27653579,0.56,1.02,0.49,0.67,0,0
2022,4,Adan Yabaal,2102,36.3,0.21,39.32,0.23,0.94,0.54,0.41,0,0
2022,3,Adan Yabaal,2102,3.46,0.19,39.61,0.18,0.99,0.55,0.38,0,0
2022,2,Adan Yabaal,2102,0.0,0.17,37.79,0.16,0.82,0.55,0.33,0,0
2022,1,Adan Yabaal,2102,0.0,0.2,38.01,0.16,0.55,0.56,0.25,0,0
2021,12,Adan Yabaal,2102,0.42,0.28,35.95,0.2,0.81,0.56,0.36,0,0
2021,11,Adan Yabaal,2102,3.8,0.38,37.36,0.23,0.98,0.84,0.42,0,0
2021,10,Adan Yabaal,2102,20.28,0.2,36.33,0.39,1.03,0.97,0.55,0,0
2021,9,Adan Yabaal,2102,2.57,0.209666667,37.58526238,0.64,0.96,0.97,0.72,0,0
2021,8,Adan Yabaal,2102,6.03,0.205,36.45552195,0.9,0.95,0.96,0.91,1,0
2021,7,Adan Yabaal,2102,19.798,0.163666667,31.09549997,0.91,0.81,1.0,0.89,0,0
2021,6,Adan Yabaal,2102,5.692996844,0.324408039,36.99748397,0.83,0.54,0.85,0.76,0,0
2021,5,Adan Yabaal,2102,45.952,0.341666666666667,36.4819110138585,0.81,0.6,0.66,0.76,0,0
2021,4,Adan Yabaal,2102,33.3136042,0.245666667,40.34634136,0.85,0.94,0.75,0.87,0,0
2021,3,Adan Yabaal,2102,9.479002953,0.228333333,39.9409304,2.72,1.11,0.79,2.31,1,0
2021,2,Adan Yabaal,2102,1.125489357,0.220333333,36.34671446,2.8,1.1,1.09,2.37,1,0
2021,1,Adan Yabaal,2102,2.384044561,0.241,35.54857311,2.54,1.04,1.36,2.16,1,0
2020,12,Adan Yabaal,2102,31.041,0.529,35.29997307,3.02,0.94,1.58,2.5,1,0
2020,11,Adan Yabaal,2102,45.814,0.548666667,31.74573725,3.02,0.79,1.2,2.46,1,0
2020,10,Adan Yabaal,2102,199.412,0.300333333,41.14825025,3.06,0.75,1.13,2.48,1,0
2020,9,Adan Yabaal,2102,0.213,0.196333333,38.80744683,2.27,0.98,1.1,1.95,1,0
2020,8,Adan Yabaal,2102,83.199,0.258,35.31161236,3.74,0.78,0.9,3.0,1,0
2020,7,Adan Yabaal,2102,139.059,0.209,35.4947893485496,3.22,0.54,0.94,2.55,1,0
2020,6,Adan Yabaal,2102,19.738,0.234,34.2079531393568,1.85,0.82,1.26,1.59,1,0
2020,5,Adan Yabaal,2102,37.683,0.482666666666667,35.9752588797075,1.76,1.09,1.6,1.59,1,0
2020,4,Adan Yabaal,2102,58.24,0.332333333333333,38.5004205395873,3.53,1.17,1.61,2.94,1,0
2020,3,Adan Yabaal,2102,108.983,0.242666666666667,41.7030132850242,5.52,1.23,1.62,4.45,1,0
2020,2,Adan Yabaal,2102,0.97,0.275333333333333,37.6775352000066,4.16,1.49,1.56,3.5,1,0
2020,1,Adan Yabaal,2102,0.176,0.378666666666667,34.72323431666666,3.54,1.43,1.49,3.01,1,0
2019,12,Adan Yabaal,2102,18.507,0.48,33.74099241497913,3.97,1.31,1.43,3.31,1,0
2019,11,Adan Yabaal,2102,244.249,0.462333333333333,31.7184410510356,3.47,1.33,1.11,2.94,1,0
2019,10,Adan Yabaal,2102,221.014,0.277333333333333,34.97266880949366,2.66,1.3,0.81,2.32,1,0
2019,9,Adan Yabaal,2102,0.0,0.183333333333333,37.37398380206877,1.45,1.04,0.76,1.35,1,0
2019,8,Adan Yabaal,2102,23.353,0.187666666666667,35.58561580156854,2.18,1.02,0.92,1.89,1,0
2019,7,Adan Yabaal,2102,61.512,0.240666666666667,33.829635752027535,2.09,0.98,0.79,1.81,1,0
2019,6,Adan Yabaal,2102,11.503,0.258333333333333,33.46162502940117,1.43,0.78,0.57,1.26,1,0
2019,5,Adan Yabaal,2102,98.566,0.33,34.841291130682,1.4,0.59,0.61,1.2,1,0
2019,4,Adan Yabaal,2102,18.747,0.233666666666667,39.92812763680354,1.07,0.57,0.62,0.94,1,0
2019,3,Adan Yabaal,2102,44.407,0.206333333333333,40.43970334295194,1.12,0.58,0.64,0.99,1,0
2019,2,Adan Yabaal,2102,0.0,0.214333333333333,39.18700135470993,0.93,0.83,0.63,0.9,0,0
2019,1,Adan Yabaal,2102,0.0,0.282666666666667,37.36201858889853,0.93,1.04,0.63,0.96,1,0
2018,12,Adan Yabaal,2102,16.113,0.379666666666667,33.55103301949473,1.03,0.8,0.64,0.97,1,0
2018,11,Adan Yabaal,2102,46.738,0.332333333333333,35.8306901738,0.97,0.57,0.88,0.87,0,0
2018,10,Adan Yabaal,2102,35.941,0.243,38.037322573349535,1.17,0.89,1.08,1.1,1,0
2018,9,Adan Yabaal,2102,29.439,0.201666666666667,38.57077371003947,2.12,1.12,1.18,1.87,1,0
2018,8,Adan Yabaal,2102,0.389,0.210666666666667,34.54944322503356,2.17,1.15,1.14,1.91,1,0
2018,7,Adan Yabaal,2102,36.873,0.257,34.813662040945026,2.28,1.13,1.17,1.99,1,0
2018,6,Adan Yabaal,2102,2.511,0.319666666666667,33.35454535270103,2.12,1.34,0.99,1.92,1,0
2018,5,Adan Yabaal,2102,74.538,0.376333333333333,32.61368879546553,2.32,1.34,0.8,2.08,1,0
2018,4,Adan Yabaal,2102,171.765,0.213666666666667,36.9685999724963,2.26,1.21,0.53,1.99,1,0
2018,3,Adan Yabaal,2102,11.068,0.189,39.41718518864384,1.07,1.18,0.55,1.1,1,0
2018,2,Adan Yabaal,2102,0.0,0.198333333333333,37.58248423347093,0.68,1.03,0.53,0.77,0,0
